Avg_Impressions,Gender,Age,Max_Clicks,Max_Impressions,Signed_In,Avg_Clicks
4.0,0,0,4,18,0,0.0
6.0,1,7,0,6,1,0.0
5.0,0,7,1,7,1,0.0
6.0,0,8,0,10,1,0.0
6.0,1,8,1,11,1,0.0
5.0,1,9,1,9,1,0.0
5.0,0,9,1,10,1,0.0
5.0,0,10,1,11,1,0.0
4.0,1,10,1,11,1,0.0
4.0,0,11,2,13,1,0.0
5.0,1,11,1,13,1,0.0
4.0,1,12,2,13,1,0.0
4.0,0,12,2,16,1,0.0
4.0,1,13,2,15,1,0.0
4.0,0,13,2,12,1,0.0
5.0,1,14,3,15,1,0.0
4.0,0,14,2,14,1,0.0
4.0,1,15,3,14,1,0.0
4.0,0,15,2,15,1,0.0
5.0,1,16,3,16,1,0.0
4.0,0,16,2,16,1,0.0
5.0,1,17,3,15,1,0.0
5.0,0,17,2,12,1,0.0
5.0,0,18,2,16,1,0.0
4.0,1,18,2,17,1,0.0
5.0,0,19,2,17,1,0.0
4.0,1,19,2,16,1,0.0
4.0,0,20,2,15,1,0.0
4.0,1,20,2,16,1,0.0
5.0,0,21,2,14,1,0.0
5.0,1,21,2,14,1,0.0
5.0,1,22,2,14,1,0.0
4.0,0,22,2,14,1,0.0
5.0,1,23,2,14,1,0.0
5.0,0,23,2,15,1,0.0
4.0,1,24,2,15,1,0.0
4.0,0,24,1,15,1,0.0
5.0,1,25,2,15,1,0.0
4.0,0,25,2,15,1,0.0
5.0,0,26,2,14,1,0.0
5.0,1,26,2,13,1,0.0
4.0,1,27,2,14,1,0.0
4.0,0,27,2,13,1,0.0
5.0,0,28,2,16,1,0.0
4.0,1,28,2,14,1,0.0
5.0,0,29,2,15,1,0.0
4.0,1,29,2,15,1,0.0
5.0,0,30,2,14,1,0.0
5.0,1,30,2,14,1,0.0
5.0,1,31,2,15,1,0.0
5.0,0,31,2,13,1,0.0
5.0,0,32,2,15,1,0.0
5.0,1,32,2,14,1,0.0
5.0,1,33,2,14,1,0.0
4.0,0,33,2,13,1,0.0
4.0,1,34,2,15,1,0.0
5.0,0,34,1,17,1,0.0
5.0,1,35,2,13,1,0.0
5.0,0,35,2,14,1,0.0
5.0,0,36,2,14,1,0.0
4.0,1,36,3,14,1,0.0
5.0,1,37,2,20,1,0.0
5.0,0,37,2,16,1,0.0
4.0,0,38,2,14,1,0.0
5.0,1,38,2,15,1,0.0
5.0,0,39,2,15,1,0.0
5.0,1,39,2,14,1,0.0
5.0,0,40,2,14,1,0.0
5.0,1,40,2,15,1,0.0
4.0,0,41,2,14,1,0.0
5.0,1,41,2,16,1,0.0
5.0,1,42,2,15,1,0.0
4.0,0,42,2,16,1,0.0
4.0,1,43,2,17,1,0.0
4.0,0,43,2,14,1,0.0
5.0,1,44,2,15,1,0.0
4.0,0,44,2,13,1,0.0
5.0,1,45,2,14,1,0.0
5.0,0,45,2,15,1,0.0
5.0,0,46,2,15,1,0.0
4.0,1,46,2,14,1,0.0
5.0,0,47,2,17,1,0.0
5.0,1,47,2,16,1,0.0
5.0,0,48,2,14,1,0.0
4.0,1,48,2,14,1,0.0
4.0,0,49,2,16,1,0.0
4.0,1,49,2,16,1,0.0
5.0,0,50,2,14,1,0.0
5.0,1,50,2,14,1,0.0
5.0,0,51,2,14,1,0.0
5.0,1,51,2,15,1,0.0
4.0,1,52,2,15,1,0.0
4.0,0,52,2,13,1,0.0
5.0,1,53,2,14,1,0.0
4.0,0,53,2,14,1,0.0
5.0,0,54,2,15,1,0.0
4.0,1,54,1,15,1,0.0
5.0,1,55,2,14,1,0.0
5.0,0,55,2,13,1,0.0
4.0,0,56,2,15,1,0.0
5.0,1,56,3,14,1,0.0
5.0,1,57,3,15,1,0.0
5.0,0,57,2,15,1,0.0
5.0,0,58,2,13,1,0.0
5.0,1,58,2,14,1,0.0
5.0,0,59,3,13,1,0.0
5.0,1,59,3,13,1,0.0
4.0,0,60,2,13,1,0.0
5.0,1,60,3,15,1,0.0
5.0,1,61,2,14,1,0.0
4.0,0,61,3,13,1,0.0
5.0,1,62,2,16,1,0.0
5.0,0,62,2,14,1,0.0
4.0,1,63,2,13,1,0.0
5.0,0,63,2,14,1,0.0
5.0,1,64,2,14,1,0.0
5.0,0,64,2,13,1,0.0
5.0,1,65,3,13,1,0.0
5.0,0,65,2,13,1,0.0
4.0,0,66,3,15,1,0.0
5.0,1,66,2,13,1,0.0
4.0,1,67,2,12,1,0.0
5.0,0,67,2,15,1,0.0
5.0,0,68,3,16,1,0.0
4.0,1,68,2,12,1,0.0
5.0,0,69,2,15,1,0.0
5.0,1,69,2,14,1,0.0
5.0,1,70,2,16,1,0.0
5.0,0,70,2,12,1,0.0
4.0,1,71,2,13,1,0.0
5.0,0,71,3,13,1,0.0
4.0,1,72,2,12,1,0.0
5.0,0,72,2,13,1,0.0
5.0,1,73,2,13,1,0.0
4.0,0,73,2,14,1,0.0
4.0,1,74,3,14,1,0.0
5.0,0,74,2,14,1,0.0
4.0,1,75,2,14,1,0.0
5.0,0,75,2,13,1,0.0
5.0,0,76,2,12,1,0.0
4.0,1,76,2,15,1,0.0
4.0,0,77,2,15,1,0.0
5.0,1,77,2,13,1,0.0
5.0,0,78,2,13,1,0.0
5.0,1,78,2,12,1,0.0
5.0,1,79,2,12,1,0.0
5.0,0,79,2,14,1,0.0
4.0,0,80,2,13,1,0.0
4.0,1,80,3,10,1,0.0
4.0,1,81,2,14,1,0.0
5.0,0,81,2,13,1,0.0
5.0,1,82,2,16,1,0.0
5.0,0,82,2,14,1,0.0
4.0,1,83,3,11,1,0.0
5.0,0,83,3,13,1,0.0
4.0,0,84,2,12,1,0.0
4.0,1,84,1,9,1,0.0
4.0,1,85,1,12,1,0.0
4.0,0,85,1,11,1,0.0
5.0,0,86,3,14,1,0.0
4.0,1,86,3,11,1,0.0
5.0,0,87,1,12,1,0.0
4.0,1,87,2,12,1,0.0
4.0,0,88,1,11,1,0.0
5.0,1,88,1,11,1,0.0
4.0,0,89,1,12,1,0.0
5.0,1,89,1,10,1,0.0
5.0,1,90,1,10,1,0.0
5.0,0,90,2,10,1,0.0
4.0,1,91,1,13,1,0.0
4.0,0,91,1,12,1,0.0
5.0,1,92,1,14,1,0.0
4.0,0,92,1,9,1,0.0
5.0,1,93,0,8,1,0.0
4.0,0,93,1,8,1,0.0
5.0,0,94,2,9,1,0.0
4.0,1,94,2,9,1,0.0
4.0,0,95,1,9,1,0.0
5.0,1,95,1,9,1,0.0
5.0,0,96,1,10,1,0.0
5.0,1,96,0,9,1,0.0
4.0,0,97,1,6,1,0.0
5.0,1,97,1,9,1,0.0
4.0,0,98,1,7,1,0.0
4.0,1,98,0,7,1,0.0
5.0,0,99,1,7,1,0.0
8.0,1,99,0,12,1,0.0
2.0,1,100,1,4,1,0.0
2.0,0,100,0,2,1,0.0
4.0,1,101,0,5,1,0.0
3.0,0,101,0,5,1,0.0
4.0,1,102,0,6,1,0.0
3.0,1,103,0,3,1,0.0
4.0,0,103,0,4,1,0.0
6.0,1,104,1,6,1,1.0
4.0,1,107,1,5,1,0.0
3.0,0,108,0,3,1,0.0
